manufacturer,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,gwp_error_ratio,gwp_manufacturing_ratio,assembly_location,server_type,gwp_transport_ratio,gwp_eol_ratio
Dell,Workplace,Laptop,281.0,0.11599999999999999,15.66,4.0,EU,0.21,0.849,China,,0,0
Dell,Workplace,Laptop,258,0.1850,22.54,4,EU,0.1938,0.7650,CN,,,
Dell,Workplace,Laptop,252,0.1890,22.6,4,EU,0.1984,0.7580,CN,,,
Dell,Workplace,Laptop,284.0,0.147,20.06,4.0,EU,0.2077,0.809,China,,0,0
Dell,Workplace,Laptop,279.0,0.137,18.31,4.0,EU,0.233,0.816,China,,0,0
Dell,Workplace,Laptop,322.0,0.134,20.59,4.0,EU,0.2019,0.828,China,,0,0
Dell,Workplace,Laptop,315.0,0.153,22.97,4.0,EU,0.2063,0.81,China,,0,0
Dell,Workplace,Laptop,279,0.1510,20.1,4,EU,0.1756,0.7910,CN,,,
Dell,Workplace,Laptop,286,0.1470,20.1,4,EU,0.1888,0.7980,CN,,,
Dell,Workplace,Laptop,324,0.2410,37.1,4,EU,0.1667,0.7070,CN,,,
Dell,Workplace,Laptop,243,0.1850,23.94,4,EU,0.2099,0.7650,CN,,,
Dell,Workplace,Laptop,278.0,0.14400000000000002,19.1,4.0,EU,0.2338,0.799,China,,0,0
Dell,Workplace,Laptop,340.0,0.142,24.05,4.0,EU,0.2088,0.809,China,,0,0
Dell,Workplace,Laptop,318.0,0.15,22.64,4.0,EU,0.2107,0.804,China,,0,0
Dell,Workplace,Laptop,263,0.1180,14.685,4,EU,0.2281,0.8180,CN,,,
Dell,Workplace,Laptop,298,0.1450,20.455,4,EU,0.2013,0.7990,CN,,,
Dell,Workplace,Laptop,302,0.1460,20.92,4,EU,0.1987,0.7970,CN,,,
Dell,Workplace,Laptop,311,0.2480,36.65,4,EU,0.1929,0.6930,CN,,,
Dell,Workplace,Laptop,254,0.1780,23.96,4,EU,0.2283,0.7660,CN,,,
Dell,Workplace,Laptop,235,0.1720,19.13,4,EU,0.2000,0.7740,CN,,,
Dell,Workplace,Laptop,225,0.1680,20.18,4,EU,0.2044,0.7830,CN,,,
Dell,Workplace,Laptop,258,0.2000,27.25,2,EU,0.1744,0.7720,CN,,,
Dell,Workplace,Laptop,259,0.1670,20.45,4,EU,0.1815,0.7890,CN,,,
Dell,Workplace,Laptop,268,0.1430,20.19,4,EU,0.1791,0.8320,CN,,,
Dell,Workplace,Laptop,218,0.2000,17.98,4,EU,0.2248,0.7500,CN,,,
Dell,Workplace,Laptop,299.0,0.11900000000000001,17.04,4.0,EU,0.2074,0.846,China,,0,0
Dell,Workplace,Laptop,316.0,0.123,18.64,4.0,EU,0.2152,0.841,China,,0,0
Dell,Workplace,Laptop,296.0,0.132,18.68,4.0,EU,0.2128,0.825,China,,0,0
Dell,Workplace,Laptop,299.0,0.136,19.43,4.0,EU,0.194,0.831,China,,0,0
Dell,Workplace,Laptop,300.0,0.146,20.89,4.0,EU,0.19,0.823,China,,0,0
Dell,Workplace,Laptop,308.0,0.122,17.87,4.0,EU,0.224,0.8440000000000001,China,,0.032,0.002
Dell,Workplace,Laptop,348.0,0.107,17.87,4.0,EU,0.2098,0.865,China,,0,0
Dell,Workplace,Laptop,325.0,0.109,16.99,4.0,EU,0.1969,0.821,China,,0,0
Dell,Workplace,Laptop,315.0,0.146,22.07,4.0,EU,0.2063,0.816,China,,0,0
Dell,Workplace,Laptop,344.0,0.147,24.03,4.0,EU,0.186,0.818,China,,0,0
Dell,Workplace,Laptop,326.0,0.16399999999999998,25.52,4.0,EU,0.1779,0.8,China,,0,0
Dell,Workplace,Laptop,333.0,0.159,25.21,4.0,EU,0.1922,0.805,China,,0,0
Dell,Workplace,Laptop,364.0,0.122,21.35,4.0,EU,0.2198,0.848,China,,0,0
Dell,Workplace,Laptop,304.0,0.127,18.31,4.0,EU,0.1908,0.8370000000000001,China,,0.034,0.002
Dell,Workplace,Laptop,247,0.1610,18.895,4,EU,0.2105,0.7830,CN,,,
Dell,Workplace,Laptop,250,0.1750,25.06,4,EU,0.2040,0.7780,CN,,,
Dell,Workplace,Laptop,251,0.1760,25.33,4,EU,0.2032,0.7830,CN,,,
Dell,Workplace,Laptop,254,0.1490,21.68,4,EU,0.2283,0.8070,CN,,,
Dell,Workplace,Laptop,255,0.2050,27.56,4,EU,0.2039,0.7510,CN,,,
Dell,Workplace,Laptop,403.0,0.14,26.77,4.0,EU,0.2035,0.8240000000000001,China,,0,0
Dell,Workplace,Laptop,403.0,0.14,26.77,4.0,EU,0.2035,0.8240000000000001,China,,0,0
Dell,Workplace,Laptop,348.0,0.16,26.62,4.0,EU,0.1925,0.8,China,,0,0
Dell,Workplace,Laptop,378.0,0.154,27.87,4.0,EU,0.1852,0.807,China,,0,0
Dell,Workplace,Laptop,324.0,0.151,23.35,4.0,EU,0.1975,0.807,China,,0,0
Dell,Workplace,Laptop,379.0,0.136,24.92,4.0,EU,0.2032,0.828,China,,0,0
Dell,Workplace,Laptop,259,0.1340,16.415,4,EU,0.2278,0.8040,CN,,,
Dell,Workplace,Laptop,299,0.1740,29.06,4,EU,0.2007,0.7800,CN,,,
Dell,Workplace,Laptop,271,0.2220,28.55,4,EU,0.1993,0.7220,CN,,,
Dell,Workplace,Laptop,305,0.1620,27.56,4,EU,0.2066,0.7960,CN,,,
Dell,Workplace,Laptop,314.0,0.08,11.98,4.0,EU,0.2357,0.884,China,,0,0
Dell,Workplace,Laptop,305.0,0.091,13.22,4.0,EU,0.223,0.8740000000000001,China,,0,0
Dell,Workplace,Laptop,95.0,0.198,17.68,2.0,EU,0.4105,0.634,Asia,,0.158,0.01
Dell,Workplace,Laptop,222,0.1540,18.3,4,EU,0.2072,0.8000,CN,,,
Dell,Workplace,Laptop,282,0.1280,20.4,4,EU,0.1738,0.8520,CN,,,
Dell,Workplace,Laptop,209,0.1410,17.5,4,EU,0.2153,0.8240,CN,,,
Dell,Workplace,Laptop,323.0,0.131,20.34,4.0,EU,0.195,0.836,China,,0,0
Dell,Workplace,Laptop,326.0,0.10800000000000001,16.87,4.0,EU,0.2393,0.86,China,,0,0
Dell,Workplace,Laptop,328.0,0.11,17.28,4.0,EU,0.2348,0.858,China,,0,0
Dell,Workplace,Laptop,333.0,0.111,17.65,4.0,EU,0.2282,0.856,China,,0,0
Dell,Workplace,Laptop,82.0,0.16,12.59,2.0,EU,0.439,0.7440000000000001,Asia,,0.09,0.006
Dell,Workplace,Laptop,336.0,0.126,20.4,4.0,EU,0.2202,0.841,China,,0,0
Dell,Workplace,Laptop,297,0.0530,7.4,4,EU,0.1852,0.9030,CN,,,
Dell,Workplace,Laptop,288,0.1510,24.455,4,EU,0.1771,0.8220,CN,,,
Dell,Workplace,Laptop,259,0.1790,24.45,4,EU,0.1931,0.7790,CN,,,
Dell,Workplace,Laptop,289,0.1660,25,4,EU,0.1799,0.7980,CN,,,
Dell,Workplace,Laptop,332,0.1240,21.4,4,EU,0.1596,0.8440,CN,,,
Dell,Workplace,Laptop,222,0.1210,15.85,4,EU,0.1892,0.8430,CN,,,
Dell,Workplace,Laptop,351.0,0.072,12.02,4.0,EU,0.2678,0.898,China,,0,0
Dell,Workplace,Laptop,320.0,0.11900000000000001,18.18,4.0,EU,0.2031,0.8440000000000001,China,,0,0
Dell,Workplace,Laptop,463.0,0.05,11.04,4.0,EU,0.2246,0.9229999999999999,China,,0,0
Dell,Workplace,Laptop,338.0,0.092,15.68,4.0,EU,0.2426,0.87,China,,0,0
Dell,Workplace,Laptop,454.0,0.063,13.8,4.0,EU,0.2203,0.91,China,,0,0
Dell,Workplace,Laptop,353.0,0.105,17.57,4.0,EU,0.238,0.862,China,,0,0
Dell,Workplace,Laptop,341.0,0.106,17.14,4.0,EU,0.2375,0.859,China,,0,0
Dell,Workplace,Laptop,249,0.1740,24.99,4,EU,0.2048,0.7820,CN,,,
